# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/pantoea.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/pantoea/counts_pantoea.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	P_1.sorted.bam	P_2.sorted.bam	P_3.sorted.bam	CK_P_1.sorted.bam	CK_P_2.sorted.bam	CK_P_3.sorted.bam
ACSMXK_00100.t01	CP195787	21267	21872	+	606	595	605	534	72	46	82
ACSMXK_00105.t01	CP195787	22025	22561	+	537	1402	1873	1531	408	428	421
ACSMXK_00110.t01	CP195787	22561	23301	+	741	1398	1892	1495	537	593	608
ACSMXK_00115.t01	CP195787	23517	24650	+	1134	3724	4627	3565	2328	2632	3142
ACSMXK_00120.t01	CP195787	24677	25633	-	957	7037	8067	5477	824	1010	1029
ACSMXK_00125.t01	CP195787	25923	26237	+	315	2007	1741	1202	5	8	7
ACSMXK_00130.t01	CP195787	26250	27587	+	1338	7078	6209	4379	78	77	105
ACSMXK_00135.t01	CP195787	27600	28982	+	1383	9212	7491	5538	68	63	85
ACSMXK_00140.t01	CP195787	28994	29296	+	303	11231	8644	5979	39	48	64
ACSMXK_00145.t01	CP195787	29487	30866	+	1380	12432	7141	5275	276	254	289
ACSMXK_00150.t01	CP195787	31057	31473	+	417	3092	3209	2691	1109	1167	1226
ACSMXK_00155.t01	CP195787	31811	33112	+	1302	780	1114	880	529	438	428
ACSMXK_00160.t01	CP195787	33128	33934	+	807	423	625	505	281	297	234
ACSMXK_00165.t01	CP195787	33909	34808	-	900	1783	2192	2037	506	547	582
ACSMXK_00170.t01	CP195787	34954	36276	-	1323	748	792	617	284	316	332
ACSMXK_00175.t01	CP195787	36576	36791	-	216	446	781	416	257	226	222
ACSMXK_00180.t01	CP195787	37557	38375	+	819	1540	1610	1422	519	648	745
ACSMXK_00185.t01	CP195787	38346	38984	-	639	661	775	669	45	71	70
ACSMXK_00190.t01	CP195787	39263	39451	-	189	6234	7248	6082	2618	2659	2853
ACSMXK_00195.t01	CP195787	39590	40057	-	468	1375	1421	1238	419	492	523
ACSMXK_00200.t01	CP195787	40139	40576	-	438	2257	2719	2261	693	780	874
ACSMXK_00205.t01	CP195787	41655	42830	-	1176	2414	2659	2004	1220	1376	1400
ACSMXK_00210.t01	CP195787	42924	44105	-	1182	1287	1689	1396	544	547	749
ACSMXK_00215.t01	CP195787	44098	45618	-	1521	967	1370	998	338	349	359
ACSMXK_00220.t01	CP195787	45645	46637	-	993	1199	1501	1126	435	513	571
ACSMXK_00225.t01	CP195787	46992	48314	+	1323	939	1029	863	272	317	300
ACSMXK_00230.t01	CP195787	48332	49777	+	1446	536	680	590	226	283	222
ACSMXK_00235.t01	CP195787	49836	50936	-	1101	663	901	580	511	590	525
ACSMXK_00240.t01	CP195787	50949	52187	-	1239	308	359	243	172	128	128
ACSMXK_00245.t01	CP195787	52298	53035	-	738	944	1088	901	1972	2379	2215
ACSMXK_00250.t01	CP195787	53053	53826	-	774	1259	1606	1136	2001	2592	2345
ACSMXK_00255.t01	CP195787	53871	54761	-	891	535	712	550	687	927	788
ACSMXK_00260.t01	CP195787	54758	55720	-	963	661	709	663	1040	1062	1199
ACSMXK_00265.t01	CP195787	55807	56850	-	1044	834	1182	916	5360	6904	5503
ACSMXK_00270.t01	CP195787	57019	57342	+	324	958	1309	1056	629	641	682
ACSMXK_00275.t01	CP195787	57535	59364	-	1830	7013	9335	7735	2423	2235	2416
ACSMXK_00280.t01	CP195787	59510	60880	-	1371	5001	6246	4742	1521	1503	1600
ACSMXK_00285.t01	CP195787	61042	61461	-	420	6773	8156	6652	4278	4074	4590
ACSMXK_00290.t01	CP195787	61486	62883	-	1398	11159	11328	9948	4456	4181	4046
ACSMXK_00295.t01	CP195787	62914	63780	-	867	8054	8097	7535	2145	2236	2146
ACSMXK_00300.t01	CP195787	63833	65374	-	1542	16794	16648	14226	7288	6699	6706
ACSMXK_00305.t01	CP195787	65389	65922	-	534	4216	4014	3558	892	842	824
ACSMXK_00310.t01	CP195787	65937	66407	-	471	5498	5700	4337	594	614	611
ACSMXK_00315.t01	CP195787	66510	66749	-	240	3654	4071	2899	1250	1211	1082
ACSMXK_00320.t01	CP195787	66798	67616	-	819	7053	8516	5717	1464	1114	1200
ACSMXK_00325.t01	CP195787	67625	68008	-	384	3893	4833	3272	572	532	512
ACSMXK_00330.t01	CP195787	68698	69315	-	618	1941	2239	1566	584	598	633
ACSMXK_00335.t01	CP195787	69363	71252	-	1890	7561	8973	6676	2423	2483	2543
ACSMXK_00340.t01	CP195787	71684	72124	-	441	3234	3931	3232	556	508	631
ACSMXK_00345.t01	CP195787	72279	72740	-	462	1538	2016	1710	431	557	651
ACSMXK_00350.t01	CP195787	72844	74982	-	2139	11911	18353	14648	3972	4330	5085
ACSMXK_00355.t01	CP195787	75057	76517	-	1461	654	869	654	317	295	319
ACSMXK_00360.t01	CP195787	76514	78010	-	1497	2375	2745	2071	507	528	441
ACSMXK_00365.t01	CP195787	78282	80150	+	1869	3310	4613	3683	1511	1571	2062
ACSMXK_00370.t01	CP195787	80181	81521	-	1341	653	921	630	280	240	370
ACSMXK_00375.t01	CP195787	81509	82180	-	672	311	395	294	173	133	162
ACSMXK_00380.t01	CP195787	82341	82742	+	402	495	675	525	390	370	425
ACSMXK_00385.t01	CP195787	82925	83344	+	420	11434	13433	10820	3154	2909	3352
ACSMXK_00390.t01	CP195787	83352	84860	+	1509	2475	3236	2494	626	656	683
ACSMXK_00395.t01	CP195787	84857	85828	+	972	954	1238	900	280	269	292
ACSMXK_00400.t01	CP195787	85855	86730	+	876	2500	2696	2226	1375	1458	1789
ACSMXK_00405.t01	CP195787	86792	87721	+	930	1543	1826	1459	339	324	340
ACSMXK_00410.t01	CP195787	87735	88718	+	984	1198	1460	1281	253	256	278
ACSMXK_00415.t01	CP195787	88715	90115	-	1401	2461	3049	2251	629	652	804
ACSMXK_00420.r01	CP195787	90652	92193	+	1542	65	148	163	57	61	61
ACSMXK_00425.r01	CP195787	92286	92360	+	75	112	118	89	21	18	24
ACSMXK_00430.r01	CP195787	92574	95478	+	2905	228	360	382	167	160	129
ACSMXK_00435.r01	CP195787	95582	95697	+	116	6	2	2	4	1	0
ACSMXK_00440.t01	CP195787	95970	96479	-	510	318	378	366	179	181	205
ACSMXK_00445.t01	CP195787	96461	97051	-	591	567	776	602	213	207	240
ACSMXK_00450.t01	CP195787	97123	97398	+	276	394	605	459	319	299	366
ACSMXK_00455.t01	CP195787	97444	98430	+	987	1489	1907	1611	399	430	557
ACSMXK_00460.t01	CP195787	98456	99085	+	630	1427	1842	1394	405	460	500
ACSMXK_00465.t01	CP195787	99467	102250	+	2784	6940	8488	7198	2738	2955	2976
ACSMXK_00470.t01	CP195787	102617	103252	-	636	1482	2122	1594	270	286	349
ACSMXK_00475.t01	CP195787	103804	104322	+	519	5716	8914	7267	4297	4592	5203
ACSMXK_00480.t01	CP195787	104558	105931	+	1374	2631	2970	2301	1476	1481	1689
ACSMXK_00485.t01	CP195787	105968	107377	-	1410	4959	5184	4122	714	747	662
ACSMXK_00490.t01	CP195787	107385	108434	-	1050	3566	3357	2946	272	263	305
ACSMXK_00495.t01	CP195787	108629	110038	-	1410	85155	89570	79123	4102	3859	3233
ACSMXK_00500.t01	CP195787	110471	112294	+	1824	23867	32230	24574	3608	4280	4381
ACSMXK_00505.t01	CP195787	112520	113116	+	597	1480	1977	1625	533	571	617
ACSMXK_00510.t01	CP195787	113120	113989	+	870	1805	2307	1881	533	529	639
ACSMXK_00515.t01	CP195787	113986	114423	+	438	1926	2313	1994	434	473	596
ACSMXK_00520.t01	CP195787	114483	115430	+	948	2424	3028	2468	592	585	650
ACSMXK_00525.t01	CP195787	115463	117142	-	1680	3366	4210	3240	928	904	1036
ACSMXK_00530.t01	CP195787	117261	118634	-	1374	1069	1285	1040	321	333	324
ACSMXK_00535.t01	CP195787	118717	120795	-	2079	1002	961	812	566	448	443
ACSMXK_00540.t01	CP195787	120792	121493	-	702	903	921	752	186	244	206
ACSMXK_00545.t01	CP195787	121497	123602	-	2106	7294	8325	6139	1375	1408	1322
ACSMXK_00550.t01	CP195787	123623	123898	-	276	4160	4878	3575	1225	1332	1275
ACSMXK_00555.t01	CP195787	123953	124576	-	624	3963	5068	3977	1212	1219	1359
ACSMXK_00560.t01	CP195787	124818	126587	+	1770	490	653	474	191	195	158
ACSMXK_00565.t01	CP195787	126501	127118	-	618	389	532	470	140	178	188
ACSMXK_00570.t01	CP195787	127587	128228	-	642	284	372	320	162	148	135
ACSMXK_00575.t01	CP195787	129014	129937	-	924	3451	4027	3294	960	1015	1030
ACSMXK_00580.t01	CP195787	130452	130727	-	276	23553	26583	24521	86240	90703	96109
ACSMXK_00585.t01	CP195787	131396	131875	-	480	2619	2610	2080	2193	2305	2455
ACSMXK_00590.t01	CP195787	131872	132687	-	816	2366	2699	2273	1967	2023	2165
ACSMXK_00595.t01	CP195787	133278	134813	+	1536	7217	9157	7349	1564	1654	1544
ACSMXK_00600.t01	CP195787	134814	135689	+	876	3608	3823	3059	1196	1137	999
ACSMXK_00605.t01	CP195787	135694	136566	+	873	3841	3670	3265	711	739	616
ACSMXK_00610.t01	CP195787	136694	137101	+	408	7393	8096	6339	883	988	928
ACSMXK_00615.t01	CP195787	137159	137899	-	741	3830	4210	3148	970	954	847
ACSMXK_00620.t01	CP195787	138069	138917	+	849	1486	1858	1615	887	885	855
ACSMXK_00625.t01	CP195787	139161	139367	+	207	146	216	171	100	101	105
ACSMXK_00630.t01	CP195787	139700	140878	+	1179	83	79	31	32	31	40
ACSMXK_00635.t01	CP195787	140881	142206	+	1326	345	342	278	112	134	100
ACSMXK_00640.t01	CP195787	142365	143485	-	1121	652	830	622	132	134	153
ACSMXK_00645.t01	CP195787	143554	143793	-	240	462	597	433	123	150	139
ACSMXK_00650.t01	CP195787	144089	145024	-	936	800	961	774	183	288	269
ACSMXK_00655.t01	CP195787	145048	146216	+	1169	164	229	190	42	42	68
ACSMXK_00660.t01	CP195787	146455	146847	-	393	202	226	140	46	24	38
ACSMXK_00665.t01	CP195787	147108	147338	+	231	237	231	153	78	87	87
ACSMXK_00670.t01	CP195787	147335	147775	-	441	2591	2669	1833	536	607	480
ACSMXK_00675.t01	CP195787	147950	149527	-	1578	7241	7105	5198	1530	1640	1428
ACSMXK_00680.t01	CP195787	149531	150640	-	1110	10379	10961	7716	2078	2055	2071
ACSMXK_00685.t01	CP195787	151001	151717	-	717	1713	2051	1462	517	494	572
ACSMXK_00690.t01	CP195787	151770	152938	-	1169	1232	1347	999	170	237	214
ACSMXK_00695.t01	CP195787	152995	153465	-	471	5832	6464	4921	1412	1529	1295
ACSMXK_00700.t01	CP195787	153699	154562	-	864	2829	3852	3069	1559	1663	1814
ACSMXK_00705.t01	CP195787	154723	155166	+	444	610	804	683	243	340	360
ACSMXK_00710.t01	CP195787	155201	156385	-	1185	1288	1620	1258	343	382	281
ACSMXK_00715.t01	CP195787	156540	157256	+	717	1741	2256	1590	733	676	649
ACSMXK_00720.t01	CP195787	157306	157947	+	642	752	1052	650	670	655	525
ACSMXK_00725.t01	CP195787	157978	158574	-	597	551	735	564	110	136	99
ACSMXK_00730.t01	CP195787	158695	159153	-	459	883	1049	695	198	203	181
ACSMXK_00735.t01	CP195787	159131	160351	-	1221	1906	2269	1942	692	643	717
ACSMXK_00740.t01	CP195787	160533	161189	+	657	970	1222	1101	375	380	463
ACSMXK_00745.t01	CP195787	161428	161664	+	237	16834	18338	14409	2174	2219	2614
ACSMXK_00750.t01	CP195787	161685	161852	+	168	1941	2081	1532	260	350	459
ACSMXK_00755.t01	CP195787	161922	162731	+	810	462	497	430	128	119	103
ACSMXK_00760.t01	CP195787	162728	163207	-	480	499	676	462	191	185	234
ACSMXK_00765.t01	CP195787	163204	163983	-	780	1389	1862	1367	338	448	386
ACSMXK_00770.t01	CP195787	163983	165257	-	1275	1616	2001	1496	449	489	595
ACSMXK_00775.t01	CP195787	165348	166484	-	1137	788	954	660	342	312	306
ACSMXK_00780.t01	CP195787	166477	167553	-	1077	951	1274	837	367	357	430
ACSMXK_00785.t01	CP195787	167627	168577	-	951	2485	3419	2621	863	828	850
ACSMXK_00790.t01	CP195787	168792	169172	+	381	1950	2250	1826	798	834	1129
ACSMXK_00795.t01	CP195787	169276	170361	-	1086	6088	8032	6361	1916	2207	2195
ACSMXK_00800.t01	CP195787	170682	171653	+	972	5353	6433	5078	1474	1445	1575
ACSMXK_00805.t01	CP195787	171676	172644	-	969	2310	2603	1927	409	499	508
ACSMXK_00810.t01	CP195787	172641	173897	-	1257	1188	1334	1157	223	233	229
ACSMXK_00815.t01	CP195787	173900	175063	-	1164	1355	1379	1211	491	501	302
ACSMXK_00820.t01	CP195787	175060	176028	-	969	1402	1694	1332	338	419	354
ACSMXK_00825.t01	CP195787	176016	177074	-	1059	1724	2259	1771	704	914	829
ACSMXK_00830.t01	CP195787	177091	178023	-	933	4687	5935	4833	2985	3316	3215
ACSMXK_00835.t01	CP195787	178251	179447	+	1197	1507	2345	2073	1581	1805	1914
ACSMXK_00840.t01	CP195787	179457	180485	+	1029	1607	2100	1882	1783	1940	2210
ACSMXK_00845.t01	CP195787	180548	181459	-	912	1134	1423	1045	471	481	588
ACSMXK_00850.t01	CP195787	181460	182761	-	1302	3851	4749	3723	727	841	795
ACSMXK_00855.t01	CP195787	183014	183445	+	432	2252	2615	2044	443	510	603
ACSMXK_00860.t01	CP195787	183462	183716	+	255	1520	2234	1723	1758	2130	2492
ACSMXK_00865.t01	CP195787	183755	184219	+	465	3472	4918	4113	3594	4058	4774
ACSMXK_00870.t01	CP195787	184219	185235	+	1017	2415	3572	2679	1027	1304	1519
ACSMXK_00875.t01	CP195787	185303	186124	+	822	1501	1789	1463	348	437	446
ACSMXK_00880.t01	CP195787	186121	186594	-	474	754	804	595	201	207	228
ACSMXK_00885.t01	CP195787	186630	188009	-	1380	3461	3788	2854	1660	1659	1851
ACSMXK_00890.t01	CP195787	188006	188704	-	699	3066	3167	2498	1765	2103	2346
ACSMXK_00895.t01	CP195787	188853	189362	+	510	29998	14935	11982	31592	37420	38698
ACSMXK_00900.t01	CP195787	189798	189962	+	165	11018	15794	15175	17644	23715	28619
ACSMXK_00905.t01	CP195787	190194	191096	+	903	1764	2642	2019	395	436	519
ACSMXK_00910.t01	CP195787	191302	192264	+	963	4948	6541	4944	2845	2904	3510
ACSMXK_00915.t01	CP195787	192403	193392	+	990	1078	1320	1115	485	499	685
ACSMXK_00920.t01	CP195787	193501	194274	+	774	417	532	471	200	217	194
ACSMXK_00925.t01	CP195787	194306	195073	-	768	3569	4375	3504	2210	2343	2209
ACSMXK_00930.t01	CP195787	195194	195784	-	591	963	1023	959	236	354	348
ACSMXK_00935.t01	CP195787	195883	196317	+	435	705	846	723	415	335	436
ACSMXK_00940.t01	CP195787	196308	197054	-	747	1463	1751	1562	482	530	577
ACSMXK_00945.t01	CP195787	197325	198518	+	1194	627	811	537	733	736	858
ACSMXK_00950.t01	CP195787	198508	199518	-	1011	1048	1464	1075	364	402	443
ACSMXK_00955.t01	CP195787	199613	201124	-	1512	18432	25163	15059	3210	3393	3916
ACSMXK_00960.t01	CP195787	201154	202002	-	849	10260	12339	8441	2327	2659	2772
ACSMXK_00965.t01	CP195787	202421	202660	+	240	5458	7021	5966	2660	3081	3527
ACSMXK_00970.t01	CP195787	202715	203200	-	486	2070	3001	2229	1196	1291	1340
ACSMXK_00975.t01	CP195787	203361	204698	-	1338	2256	2940	2373	650	705	713
ACSMXK_00980.t01	CP195787	204709	205239	-	531	248	262	304	58	65	61
ACSMXK_00985.t01	CP195787	205328	206269	-	942	3081	3699	3267	536	595	585
ACSMXK_00990.t01	CP195787	206426	207460	-	1035	1540	1656	1344	358	392	386
ACSMXK_00995.t01	CP195787	207625	209820	-	2196	1863	2240	1746	418	498	459
ACSMXK_01000.t01	CP195787	210045	210260	+	216	19284	20297	13055	4568	4174	4536
ACSMXK_01005.t01	CP195787	210335	210652	-	318	7817	5829	6593	791	951	1072
ACSMXK_01010.t01	CP195787	210922	212082	+	1161	4048	2244	2557	233	330	428
ACSMXK_01015.t01	CP195787	212085	214517	+	2433	8552	5806	5694	860	958	1118
ACSMXK_01020.t01	CP195787	214990	217638	-	2649	7566	8731	7155	872	849	863
ACSMXK_01025.t01	CP195787	217988	219136	-	1149	2834	3227	2903	676	627	740
ACSMXK_01030.t01	CP195787	219305	220309	+	1005	6960	8251	8670	456	547	527
ACSMXK_01035.t01	CP195787	220324	221100	+	777	3004	3038	3500	195	198	229
ACSMXK_01040.t01	CP195787	221125	222342	+	1218	6458	6781	7460	819	840	858
ACSMXK_01045.t01	CP195787	222431	223804	+	1374	6318	5370	6248	492	582	526
ACSMXK_01050.t01	CP195787	224157	225074	+	918	7292	8478	6973	1185	1270	1306
ACSMXK_01055.t01	CP195787	225057	226457	-	1401	4552	5626	4877	1965	2075	2464
ACSMXK_01060.t01	CP195787	226651	227298	+	648	3174	4115	3481	1019	1105	1325
ACSMXK_01065.t01	CP195787	227313	227666	+	354	873	1146	922	632	699	793
ACSMXK_01070.t01	CP195787	227701	228804	-	1104	436	512	311	170	131	154
ACSMXK_01075.t01	CP195787	229175	231061	+	1887	1042	1374	1115	414	426	441
ACSMXK_01080.t01	CP195787	231006	231857	+	852	1188	1350	1209	380	415	419
ACSMXK_01085.r01	CP195787	232254	233794	+	1541	38	137	110	37	55	32
ACSMXK_01090.r01	CP195787	233868	233944	+	77	4032	4868	3574	822	913	886
ACSMXK_01095.r01	CP195787	234087	234162	+	76	3473	4169	3011	720	824	861
ACSMXK_01100.r01	CP195787	234365	237268	+	2904	18	31	42	12	5	4
ACSMXK_01105.r01	CP195787	237372	237487	+	116	12	22	15	16	12	7
ACSMXK_01110.r01	CP195787	237725	237801	+	77	75	121	100	20	17	15
ACSMXK_01115.r01	CP195787	237810	237885	+	76	288	348	366	116	143	173
ACSMXK_01120.t01	CP195787	237996	238820	-	825	3443	4870	4311	951	956	1219
ACSMXK_01125.t01	CP195787	238942	239280	+	339	12320	15493	10350	9112	8738	9931
ACSMXK_01130.t01	CP195787	239304	240824	-	1521	758	1004	685	330	308	394
ACSMXK_01135.t01	CP195787	241155	241253	+	99	1125	1845	1474	45	45	32
ACSMXK_01140.t01	CP195787	241403	243049	+	1647	9987	14695	11638	662	717	568
ACSMXK_01145.t01	CP195787	243046	243303	+	258	1919	2731	2030	71	104	77
ACSMXK_01150.t01	CP195787	243322	244251	+	930	9103	13089	9096	824	912	740
ACSMXK_01155.t01	CP195787	244312	246162	+	1851	15979	23079	15838	1651	1475	1476
ACSMXK_01160.t01	CP195787	246164	247711	+	1548	5766	8752	6398	660	666	658
ACSMXK_01165.t01	CP195787	247712	248593	-	882	542	705	568	247	220	238
ACSMXK_01170.t01	CP195787	248755	250230	+	1476	2213	2674	2166	892	794	820
ACSMXK_01175.t01	CP195787	250414	250719	+	306	75	87	58	22	11	30
ACSMXK_01180.t01	CP195787	250790	252121	-	1332	5558	6877	5263	739	955	895
ACSMXK_01185.t01	CP195787	252384	253400	-	1017	5787	8648	7586	2139	2647	3218
ACSMXK_01190.t01	CP195787	253440	254339	-	900	1463	1823	1431	847	922	957
ACSMXK_01195.t01	CP195787	254455	255213	+	759	555	540	615	97	140	124
ACSMXK_01200.t01	CP195787	255246	256100	-	855	503	588	424	147	175	156
ACSMXK_01205.t01	CP195787	256206	256829	+	624	1702	2361	1947	1093	1149	1280
ACSMXK_01210.t01	CP195787	256796	258286	-	1491	1641	2116	1725	593	694	911
ACSMXK_01215.t01	CP195787	258422	259009	+	588	299	420	311	122	153	156
ACSMXK_01220.t01	CP195787	259006	261390	-	2385	1398	2276	1835	717	784	873
ACSMXK_01225.t01	CP195787	261512	263125	-	1614	1082	1438	880	608	636	712
ACSMXK_01230.t01	CP195787	263743	263985	-	243	171	179	141	48	42	56
ACSMXK_01235.t01	CP195787	264290	264862	+	573	1347	1456	859	60	76	72
ACSMXK_01240.t01	CP195787	264972	265049	+	78	93	133	73	22	22	26
ACSMXK_01245.t01	CP195787	265303	266139	+	837	293	394	321	94	120	128
ACSMXK_01250.t01	CP195787	266211	267131	+	921	1641	2878	2423	1176	1315	1644
ACSMXK_01255.t01	CP195787	267124	268509	+	1386	1787	2748	2270	1279	1331	1631
ACSMXK_01260.t01	CP195787	268511	269863	-	1353	1298	1494	1382	305	373	410
ACSMXK_01265.t01	CP195787	270033	270935	-	903	724	950	813	231	243	257
ACSMXK_01270.t01	CP195787	271075	272103	+	1029	203	260	228	35	36	39
ACSMXK_01275.t01	CP195787	272140	273063	-	924	729	1096	833	324	358	304
ACSMXK_01280.t01	CP195787	273467	273844	+	378	692	885	683	106	107	114
ACSMXK_01285.t01	CP195787	273868	274473	-	606	805	1073	785	175	202	200
ACSMXK_01290.t01	CP195787	274666	275790	+	1125	845	1382	977	164	213	242
ACSMXK_01295.t01	CP195787	275787	277619	-	1833	1463	2250	1759	436	468	567
ACSMXK_01300.t01	CP195787	277693	278193	+	501	606	737	620	115	115	181
ACSMXK_01305.t01	CP195787	278353	279519	+	1167	3569	3575	2864	1203	1231	1569
ACSMXK_01310.t01	CP195787	279631	279720	+	90	26	21	26	15	9	12
ACSMXK_01315.t01	CP195787	279720	281402	+	1683	426	562	421	1667	1147	1044
ACSMXK_01320.t01	CP195787	281405	283450	+	2046	215	274	244	1724	1168	1097
ACSMXK_01325.t01	CP195787	283461	284030	+	570	279	472	405	894	667	697
ACSMXK_01330.t01	CP195787	284044	286719	+	2676	1378	1945	1564	3056	2378	2100
ACSMXK_01335.t01	CP195787	286774	287277	+	504	413	452	379	351	322	328
ACSMXK_01340.t01	CP195787	287338	288270	-	933	606	864	595	275	283	257
ACSMXK_01345.t01	CP195787	288365	289573	+	1209	205	230	209	48	81	61
ACSMXK_01350.t01	CP195787	289635	290978	+	1344	1965	2713	2234	778	889	1227
ACSMXK_01355.t01	CP195787	291009	291347	+	339	1097	1550	1377	1058	1240	1476
ACSMXK_01360.t01	CP195787	291518	292456	+	939	3467	4319	3074	874	872	956
ACSMXK_01365.t01	CP195787	292574	293653	-	1080	513	672	467	88	178	164
ACSMXK_01370.t01	CP195787	293844	294590	-	747	153	223	191	38	61	48
ACSMXK_01375.t01	CP195787	294628	295731	-	1104	404	441	397	110	149	166
ACSMXK_01380.t01	CP195787	295763	296599	-	837	63	103	83	35	28	9
ACSMXK_01385.t01	CP195787	296599	297465	-	867	53	54	73	23	38	14
ACSMXK_01390.t01	CP195787	297462	298562	-	1101	234	240	167	78	43	63
ACSMXK_01395.t01	CP195787	298853	299626	-	774	197	288	181	90	68	87
ACSMXK_01400.t01	CP195787	299921	301051	+	1131	2304	3052	2366	604	601	747
ACSMXK_01405.t01	CP195787	301125	302477	-	1353	4192	5981	4670	1958	2130	2355
ACSMXK_01410.t01	CP195787	302602	303513	+	912	1156	1590	1248	420	486	538
ACSMXK_01415.t01	CP195787	303517	304332	-	816	616	820	595	122	113	188
ACSMXK_01420.t01	CP195787	304394	305236	-	843	1597	2067	1531	289	291	289
ACSMXK_01425.t01	CP195787	305558	307600	+	2043	4227	5430	4595	1683	1735	2021
ACSMXK_01430.t01	CP195787	307608	308360	+	753	1770	2335	2142	1147	1248	1123
ACSMXK_01435.t01	CP195787	308425	308862	-	438	3408	5134	4893	4509	4415	4595
ACSMXK_01440.t01	CP195787	309287	309622	+	336	3886	5741	5666	4296	4157	5075
ACSMXK_01445.t01	CP195787	309659	311161	-	1503	5555	7960	6329	2047	2004	2207
ACSMXK_01450.t01	CP195787	311403	312587	+	1185	1460	1913	1459	453	505	543
ACSMXK_01455.t01	CP195787	312612	313862	-	1251	549	676	582	1215	1196	1300
