# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/burkholderia.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/burkholderia/counts_burkholderia.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_1.sorted.bam	B_2.sorted.bam	B_3.sorted.bam	CK_B_1.sorted.bam	CK_B_2.sorted.bam	CK_B_3.sorted.bam
ACSMXP_00145.t01	CP195871	40990	43002	-	2013	875	879	792	751	706	441
ACSMXP_00150.t01	CP195871	43394	44173	-	780	1116	1043	909	133	103	94
ACSMXP_00155.t01	CP195871	44229	44501	-	273	1611	1757	1487	56	40	33
ACSMXP_00160.t01	CP195871	44512	45351	-	840	4215	3843	3531	204	174	156
ACSMXP_00165.t01	CP195871	45354	45962	-	609	5344	5350	4529	228	171	194
ACSMXP_00170.t01	CP195871	45959	46396	-	438	11566	14733	11744	1076	856	834
ACSMXP_00175.t01	CP195871	46389	47387	-	999	19465	21548	18371	1040	868	799
ACSMXP_00180.t01	CP195871	47405	47899	-	495	8566	10634	8249	274	216	273
ACSMXP_00185.t01	CP195871	48224	48898	-	675	459	752	516	100	94	65
ACSMXP_00190.t01	CP195871	48954	49469	-	516	319	656	435	70	53	50
ACSMXP_00195.t01	CP195871	49610	50554	+	945	436	339	277	289	267	229
ACSMXP_00200.t01	CP195871	50722	51183	-	462	682	889	643	332	264	201
ACSMXP_00205.t01	CP195871	51344	51595	+	252	599	1222	707	225	182	200
ACSMXP_00210.t01	CP195871	51858	53393	+	1536	1883	2076	1718	4231	3760	2969
ACSMXP_00215.t01	CP195871	53483	54253	-	771	671	711	655	1316	994	917
ACSMXP_00220.t01	CP195871	54300	54809	-	510	297	329	267	793	733	570
ACSMXP_00225.t01	CP195871	54806	56197	-	1392	662	718	613	1608	1294	1111
ACSMXP_00230.t01	CP195871	56222	57379	-	1158	329	262	294	465	350	313
ACSMXP_00235.t01	CP195871	57376	58071	-	696	172	147	105	247	215	204
ACSMXP_00240.t01	CP195871	58049	58471	-	423	84	60	60	166	108	77
ACSMXP_00245.t01	CP195871	58474	58965	-	492	204	190	180	474	414	271
ACSMXP_00250.t01	CP195871	59023	59475	-	453	705	693	661	2559	2207	1687
ACSMXP_00255.t01	CP195871	59625	60035	+	411	1156	1271	1120	2247	1713	1808
ACSMXP_00260.t01	CP195871	60117	61334	-	1218	526	524	445	1234	999	889
ACSMXP_00265.t01	CP195871	61339	62820	-	1482	919	965	839	2498	2015	1657
ACSMXP_00270.t01	CP195871	62817	65201	-	2385	2350	2004	2015	9681	7602	6060
ACSMXP_00275.t01	CP195871	65571	66026	+	456	336	340	262	811	604	537
ACSMXP_00280.t01	CP195871	66337	67629	+	1293	1256	1204	1115	2632	2154	1558
ACSMXP_00285.t01	CP195871	67786	68064	-	279	14525	17462	14318	71009	58774	55400
ACSMXP_00290.t01	CP195871	68480	70456	+	1977	1084	938	941	980	778	753
ACSMXP_00295.t01	CP195871	71230	72444	+	1215	1157	997	937	1857	1249	1389
ACSMXP_00300.t01	CP195871	72512	73627	+	1116	1074	1007	843	4022	3441	2720
ACSMXP_00305.t01	CP195871	74139	74780	+	642	6364	9220	6924	4963	4381	3393
ACSMXP_00310.t01	CP195871	74821	75531	+	711	3707	5279	4236	2455	2118	1409
ACSMXP_00315.t01	CP195871	75742	76854	+	1113	845	842	788	1307	1079	728
ACSMXP_00320.t01	CP195871	77160	77735	+	576	1152	1192	1096	3236	2727	2018
ACSMXP_00325.t01	CP195871	77799	79358	-	1560	1259	1131	1013	2048	1363	1261
ACSMXP_00330.t01	CP195871	79517	80209	-	693	6092	8589	6396	15808	8701	9440
ACSMXP_00335.t01	CP195871	80320	80550	+	231	2295	3172	2678	11193	4890	6674
ACSMXP_00340.t01	CP195871	80920	81225	-	306	1236	1642	1368	5081	5090	4101
ACSMXP_00345.t01	CP195871	81336	82235	-	900	628	793	586	439	401	370
ACSMXP_00350.t01	CP195871	82374	82865	+	492	646	660	594	777	592	523
ACSMXP_00355.t01	CP195871	82941	83471	-	531	1484	1661	1430	2685	2350	2338
ACSMXP_00360.t01	CP195871	83696	84592	-	897	594	538	495	678	586	428
ACSMXP_00365.t01	CP195871	84728	86425	+	1698	1009	1093	1006	5034	1773	2563
ACSMXP_00370.t01	CP195871	86911	87690	+	780	284	227	239	4243	2720	3426
ACSMXP_00375.t01	CP195871	87687	88481	+	795	172	114	149	3334	1677	2469
ACSMXP_00380.t01	CP195871	88607	89812	+	1206	184	160	205	4816	1817	3707
ACSMXP_00385.t01	CP195871	89903	90787	+	885	110	121	121	571	279	526
ACSMXP_00390.t01	CP195871	90787	91761	+	975	252	219	172	552	209	517
ACSMXP_00395.t01	CP195871	92308	93480	+	1173	939	836	778	1368	1202	933
ACSMXP_00400.t01	CP195871	93667	94824	+	1158	977	1253	870	1461	1132	1124
ACSMXP_00405.t01	CP195871	95016	96071	+	1056	265	267	233	109	97	124
ACSMXP_00410.t01	CP195871	96076	97860	+	1785	360	357	338	117	140	86
ACSMXP_00415.t01	CP195871	97872	98636	+	765	167	170	149	271	193	151
ACSMXP_00420.t01	CP195871	98819	100789	+	1971	6856	9899	7255	10121	9443	7081
ACSMXP_00425.t01	CP195871	100786	101475	+	690	1487	1844	1553	1230	1273	828
ACSMXP_00430.t01	CP195871	101532	102302	+	771	1488	2153	1544	1846	1689	1274
ACSMXP_00435.t01	CP195871	102341	103228	+	888	1368	1975	1431	1341	1526	990
ACSMXP_00440.t01	CP195871	103236	104369	+	1134	871	832	730	689	584	464
ACSMXP_00445.t01	CP195871	104634	105164	+	531	5815	6247	5396	12168	13265	9860
ACSMXP_00450.t01	CP195871	105326	106177	+	852	3466	2974	2707	4951	6022	4111
ACSMXP_00455.t01	CP195871	106254	106523	+	270	3031	2862	2573	6951	9487	6243
ACSMXP_00460.t01	CP195871	106650	107120	+	471	2268	1750	1590	2972	3151	2089
ACSMXP_00465.t01	CP195871	107123	107662	+	540	1294	1117	1018	3228	3775	2276
ACSMXP_00470.t01	CP195871	107707	109248	+	1542	7980	6352	6228	29479	32215	19937
ACSMXP_00475.t01	CP195871	109321	110199	+	879	3728	3049	3062	12383	12384	9091
ACSMXP_00480.t01	CP195871	110272	111666	+	1395	9078	7480	6894	33299	33225	23958
ACSMXP_00485.t01	CP195871	111826	112251	+	426	2119	1557	1598	9114	9622	6676
ACSMXP_00490.t01	CP195871	112436	114202	+	1767	1838	1249	1454	3940	3452	2879
ACSMXP_00495.t01	CP195871	114876	115733	-	858	500	423	442	532	438	338
ACSMXP_00500.t01	CP195871	115917	117011	+	1095	4383	5046	4274	3858	3420	2466
ACSMXP_00505.t01	CP195871	117540	119792	+	2253	1219	1024	959	735	605	486
ACSMXP_00510.t01	CP195871	120284	124207	+	3924	4311	4442	3964	11222	14012	8188
ACSMXP_00515.t01	CP195871	124294	125433	+	1140	3447	4209	3637	20459	21829	14189
ACSMXP_00520.t01	CP195871	125713	126867	+	1155	554	407	394	336	288	260
ACSMXP_00525.t01	CP195871	126899	127708	+	810	408	270	307	201	142	83
ACSMXP_00530.t01	CP195871	127767	128378	-	612	926	957	893	573	479	393
ACSMXP_00535.t01	CP195871	128475	128906	-	432	2457	3474	2652	2093	1632	1583
ACSMXP_00540.t01	CP195871	128995	131679	+	2685	4434	3455	3364	12041	11220	8466
ACSMXP_00545.t01	CP195871	131715	131903	+	189	237	178	217	668	412	349
ACSMXP_00550.t01	CP195871	131994	132473	-	480	677	595	548	1221	831	746
ACSMXP_00555.t01	CP195871	132704	134113	+	1410	17896	13571	13520	651	566	420
ACSMXP_00560.t01	CP195871	134151	135548	+	1398	16123	16518	14457	2869	2059	1865
ACSMXP_00565.t01	CP195871	135545	136339	+	795	4331	4315	3816	618	511	407
ACSMXP_00570.t01	CP195871	136429	137949	-	1521	22606	23151	20304	8323	4279	4868
ACSMXP_00575.t01	CP195871	138288	139442	+	1155	14306	17258	13738	3689	2257	2305
ACSMXP_00580.t01	CP195871	139504	140589	-	1086	3458	4488	3481	1743	1193	1059
ACSMXP_00585.t01	CP195871	140635	142356	-	1722	2956	3750	2984	5885	4628	3859
ACSMXP_00590.t01	CP195871	142562	143950	-	1389	1474	1525	1365	2387	2458	1797
ACSMXP_00595.t01	CP195871	143980	145125	-	1146	1104	1332	1114	2287	1872	1395
ACSMXP_00600.t01	CP195871	145269	148199	-	2931	7506	8811	7345	10404	9714	6558
ACSMXP_00605.t01	CP195871	148263	148646	-	384	3125	4275	3311	8804	7816	5962
ACSMXP_00610.t01	CP195871	148690	149808	-	1119	4100	5287	4096	3161	3113	2233
ACSMXP_00615.t01	CP195871	150685	151089	-	405	429	329	279	703	678	428
ACSMXP_00620.t01	CP195871	151292	152344	-	1053	1334	1347	1210	1532	1290	910
ACSMXP_00625.t01	CP195871	152825	154909	+	2085	1458	1274	1184	1410	1242	958
ACSMXP_00630.t01	CP195871	155007	155945	-	939	1028	1184	973	4757	2981	3483
ACSMXP_00635.r01	CP195871	156190	156265	+	76	226	271	213	209	188	173
ACSMXP_00640.t01	CP195871	156365	157471	-	1107	257	180	158	38	49	54
ACSMXP_00645	CP195871	157603	157776	-	174	42	31	40	24	11	10
ACSMXP_00650.t01	CP195871	158282	161074	-	2793	492	323	364	206	200	154
ACSMXP_00655.t01	CP195871	161077	161280	-	204	4	4	1	0	0	0
ACSMXP_00660.t01	CP195871	161277	161795	-	519	69	64	68	11	14	4
ACSMXP_00665.t01	CP195871	161880	162128	-	249	84	84	64	78	51	68
ACSMXP_00670.t01	CP195871	162238	162441	-	204	40	66	31	37	38	49
ACSMXP_00675.t01	CP195871	162533	163006	+	474	1079	1333	999	1703	1616	1331
ACSMXP_00680.t01	CP195871	163203	163490	+	288	464	639	536	689	692	558
ACSMXP_00685.t01	CP195871	163686	164783	-	1098	258	246	250	171	166	103
ACSMXP_00690.t01	CP195871	164783	165274	-	492	109	61	86	44	31	55
ACSMXP_00695.t01	CP195871	165289	168234	-	2946	804	522	553	362	314	294
ACSMXP_00700.t01	CP195871	168231	168350	-	120	0	0	0	0	0	0
ACSMXP_00705.t01	CP195871	168359	168694	-	336	122	90	111	126	107	64
ACSMXP_00710.t01	CP195871	168764	169273	-	510	630	434	398	197	166	126
ACSMXP_00715.t01	CP195871	169301	170473	-	1173	1020	819	736	365	256	222
ACSMXP_00720	CP195871	170754	171383	-	630	225	156	148	47	68	37
ACSMXP_00725.t01	CP195871	171402	173963	-	2562	917	855	862	799	661	586
ACSMXP_00730.t01	CP195871	173966	174523	-	558	107	106	70	41	44	37
ACSMXP_00735.t01	CP195871	174501	175406	-	906	182	161	139	39	55	26
ACSMXP_00740.t01	CP195871	175403	175765	-	363	76	66	64	15	25	6
ACSMXP_00745.t01	CP195871	175762	176460	-	699	261	275	273	150	147	94
ACSMXP_00750.t01	CP195871	176694	177110	-	417	57	43	48	33	21	24
ACSMXP_00755.t01	CP195871	177103	177360	-	258	0	0	0	0	0	0
ACSMXP_00760.t01	CP195871	177245	177694	-	450	32	11	13	12	11	6
ACSMXP_00765.t01	CP195871	177691	178503	-	813	231	133	126	82	95	41
ACSMXP_00770.t01	CP195871	178500	178772	-	273	37	15	16	10	10	5
ACSMXP_00775.t01	CP195871	178774	179118	-	345	67	39	51	46	34	36
ACSMXP_00780.t01	CP195871	179134	179340	-	207	19	18	14	26	15	12
ACSMXP_00785.t01	CP195871	179337	179531	-	195	34	35	25	37	28	19
ACSMXP_00790.t01	CP195871	179889	180173	-	285	18	38	29	100	82	90
ACSMXP_00795.t01	CP195871	180170	180652	-	483	172	243	204	794	656	566
ACSMXP_00800.t01	CP195871	180734	181968	+	1235	137	179	129	790	795	674
ACSMXP_00805.t01	CP195871	183051	190232	+	7182	3102	2433	2720	1722	1343	1335
ACSMXP_00810.t01	CP195871	190323	190787	+	465	132	83	71	10	14	16
ACSMXP_00815.t01	CP195871	190923	192110	+	1188	179	100	130	23	28	11
ACSMXP_00820.t01	CP195871	192110	193819	+	1710	355	234	321	125	100	103
ACSMXP_00825.t01	CP195871	193812	194678	+	867	99	31	40	6	9	3
ACSMXP_00830.t01	CP195871	194675	195226	+	552	40	40	44	0	2	9
ACSMXP_00835.t01	CP195871	195223	197241	+	2019	256	132	143	34	29	21
ACSMXP_00840.t01	CP195871	197238	197780	+	543	39	31	31	4	4	9
ACSMXP_00845.t01	CP195871	197812	200355	+	2544	423	344	353	237	183	170
ACSMXP_00850.t01	CP195871	200514	200963	+	450	105	78	105	14	27	16
ACSMXP_00855.t01	CP195871	200963	201373	+	411	73	52	51	54	36	40
ACSMXP_00860.t01	CP195871	201481	202476	+	996	198	139	144	46	36	29
ACSMXP_00865.t01	CP195871	202486	203061	-	576	167	100	108	54	37	49
ACSMXP_00870.t01	CP195871	203288	203482	+	195	67	71	98	112	156	86
ACSMXP_00875.t01	CP195871	203479	205092	-	1614	815	665	692	277	247	231
ACSMXP_00880.t01	CP195871	205585	206175	-	591	4978	7091	5489	721	640	477
ACSMXP_00885.t01	CP195871	206326	207372	+	1047	14494	18843	14858	188	190	159
ACSMXP_00890.t01	CP195871	207443	208366	-	924	3839	3914	3502	304	257	266
ACSMXP_00895.t01	CP195871	208528	209562	+	1035	742	847	615	276	263	181
ACSMXP_00900.t01	CP195871	209994	211610	+	1617	1917	1724	1767	2882	2163	1885
ACSMXP_00905.t01	CP195871	211706	212329	-	624	2496	2769	2288	2478	2065	1777
ACSMXP_00910.t01	CP195871	212397	213497	-	1101	7869	7993	6786	374	254	242
ACSMXP_00915.t01	CP195871	213509	214183	-	675	4858	5071	4386	184	125	133
ACSMXP_00920.t01	CP195871	214183	214947	-	765	4591	4383	3888	132	91	90
ACSMXP_00925.t01	CP195871	214944	216005	-	1062	12779	13073	11347	1092	816	776
ACSMXP_00930.t01	CP195871	216008	216229	-	222	2620	3415	2676	174	108	127
ACSMXP_00935.t01	CP195871	216241	217272	-	1032	11128	12318	10102	957	701	666
ACSMXP_00940.t01	CP195871	217269	218417	-	1149	26836	27625	23988	1656	1432	1346
ACSMXP_00945.t01	CP195871	218414	220867	-	2454	48583	52903	44475	3504	2821	2286
ACSMXP_00950.t01	CP195871	221100	221405	-	306	8546	8621	7425	637	644	463
ACSMXP_00955.t01	CP195871	221431	222984	-	1554	30834	23875	24137	1463	1109	952
ACSMXP_00960.t01	CP195871	223202	224356	-	1155	294093	273018	242051	2667	2283	2241
ACSMXP_00965.t01	CP195871	224951	225163	+	213	6180	7033	6075	3174	4334	2147
ACSMXP_00970.t01	CP195871	225287	225967	-	681	635	687	589	1172	1155	921
ACSMXP_00975.t01	CP195871	226111	226995	+	885	446	478	346	695	591	446
ACSMXP_00980.t01	CP195871	227142	227963	+	822	1155	1275	927	1459	1444	1117
ACSMXP_00985.t01	CP195871	228589	228885	+	297	7732	10808	8224	48391	52778	44089
ACSMXP_00990.t01	CP195871	229012	230076	-	1065	2230	2210	2085	7843	6131	5226
ACSMXP_00995.t01	CP195871	230657	230977	+	321	76337	94350	70899	29598	18638	21483
ACSMXP_01000.t01	CP195871	231078	231659	+	582	13698	12020	10840	1629	1201	1153
ACSMXP_01005.t01	CP195871	232145	233005	+	861	33930	38845	30794	588	511	420
ACSMXP_01010.t01	CP195871	233022	234107	+	1086	29707	33713	27466	999	864	664
ACSMXP_01015.t01	CP195871	234148	234525	+	378	5730	6124	5085	315	280	218
ACSMXP_01020.t01	CP195871	234605	236950	+	2346	33510	33184	30044	874	756	599
ACSMXP_01025.t01	CP195871	236985	237515	+	531	14350	14658	12405	338	234	244
ACSMXP_01030.t01	CP195871	237550	239553	+	2004	32521	30319	27765	719	561	517
ACSMXP_01035.t01	CP195871	239566	240540	+	975	8693	7889	6881	254	218	187
ACSMXP_01040.t01	CP195871	240537	241223	+	687	6093	6265	5325	217	228	145
ACSMXP_01045.t01	CP195871	241220	242293	+	1074	6945	7124	6348	1148	1062	794
ACSMXP_01050.t01	CP195871	242333	242728	+	396	9274	11537	9519	656	760	487
ACSMXP_01055.t01	CP195871	242732	243448	+	717	8693	9772	8380	581	487	412
ACSMXP_01060.t01	CP195871	243841	244341	+	501	3129	2956	2627	1514	1025	1018
ACSMXP_01065.t01	CP195871	244359	245606	+	1248	4541	3623	3563	2021	1509	1298
ACSMXP_01070.t01	CP195871	245805	246326	+	522	709	715	600	996	844	742
ACSMXP_01075.t01	CP195871	246622	247836	+	1215	15551	18644	15820	1341	989	987
ACSMXP_01080.t01	CP195871	247833	249935	+	2103	26268	30850	25487	1415	1083	1042
ACSMXP_01085.t01	CP195871	249932	251704	+	1773	31652	30323	26850	1203	916	964
ACSMXP_01090.t01	CP195871	251697	252509	+	813	10431	11259	9144	324	177	170
ACSMXP_01095.t01	CP195871	252535	253299	+	765	19745	23473	18955	901	572	620
ACSMXP_01100.t01	CP195871	253610	255028	+	1419	15674	14813	13455	50198	46424	34490
ACSMXP_01105.t01	CP195871	255181	255534	+	354	787	830	776	1998	1757	1286
ACSMXP_01110.t01	CP195871	255554	256390	+	837	1494	1314	1222	2700	2989	1863
ACSMXP_01115.t01	CP195871	256509	257201	-	693	898	701	775	2438	2341	1613
ACSMXP_01120.t01	CP195871	257483	258583	+	1101	394	314	369	828	670	679
ACSMXP_01125.t01	CP195871	259004	260146	+	1143	31225	16823	20830	46941	36650	35660
ACSMXP_01130.t01	CP195871	260234	261439	-	1206	502	402	428	458	448	349
ACSMXP_01135.t01	CP195871	261629	262366	+	738	350	385	318	354	279	340
ACSMXP_01140.t01	CP195871	262753	263046	+	294	32637	60617	42707	63896	78173	59049
ACSMXP_01145.t01	CP195871	263305	264498	+	1194	770	974	852	823	723	591
ACSMXP_01150.t01	CP195871	264544	265002	-	459	1239	1734	1346	1227	1265	966
ACSMXP_01155.t01	CP195871	265155	265781	-	627	1097	1017	918	894	758	574
ACSMXP_01160.t01	CP195871	265778	266425	-	648	1879	2451	1827	1625	1466	1175
ACSMXP_01165.t01	CP195871	267097	267729	+	633	4733	2553	3014	901	755	480
ACSMXP_01170.t01	CP195871	267862	268752	-	891	516	308	375	559	499	332
ACSMXP_01175.t01	CP195871	268751	269260	+	510	149	131	115	459	437	332
ACSMXP_01180.t01	CP195871	269416	270000	+	585	692	649	569	1511	1107	1059
ACSMXP_01185.t01	CP195871	270020	270823	+	804	902	938	753	2509	2133	1472
ACSMXP_01190.t01	CP195871	270820	271176	+	357	366	373	319	727	607	433
ACSMXP_01195.r01	CP195871	271296	271371	+	76	128	108	120	178	101	106
ACSMXP_01200.t01	CP195871	271426	272148	-	723	460	288	385	360	244	253
ACSMXP_01205.t01	CP195871	272156	272467	-	312	204	155	161	307	281	225
ACSMXP_01210.t01	CP195871	272637	273788	-	1152	806	811	710	2079	1577	1437
ACSMXP_01215.t01	CP195871	274069	276405	+	2337	452	393	445	547	434	344
ACSMXP_01220.t01	CP195871	276451	277572	+	1122	155	132	165	37	45	53
ACSMXP_01225.t01	CP195871	277569	278513	+	945	167	103	115	51	37	34
ACSMXP_01230.t01	CP195871	278654	279748	-	1095	1717	1762	1532	2062	1854	1404
ACSMXP_01235.t01	CP195871	280153	280554	-	402	159	148	159	278	158	168
ACSMXP_01240.t01	CP195871	281052	282455	+	1404	528	472	400	898	729	791
ACSMXP_01245.t01	CP195871	282468	282611	+	144	42	45	29	70	48	75
ACSMXP_01250.t01	CP195871	282812	283030	+	219	237	290	247	36708	10667	24497
ACSMXP_01255.t01	CP195871	283214	284083	+	870	527	567	491	1802	1117	1039
ACSMXP_01260.t01	CP195871	284287	284919	+	633	509	449	448	617	544	506
ACSMXP_01265.t01	CP195871	285292	286125	-	834	562	536	514	2183	1282	1881
ACSMXP_01270.t01	CP195871	286145	287395	-	1251	1003	872	877	3974	2523	2857
ACSMXP_01275.t01	CP195871	288430	289377	-	948	4110	4540	4079	5248	4421	3844
ACSMXP_01280.t01	CP195871	289630	290232	-	603	732	824	607	1930	1601	1305
ACSMXP_01285.t01	CP195871	290474	291160	-	687	1561	1668	1441	2134	2118	1452
ACSMXP_01290.t01	CP195871	291140	291466	+	327	86	81	71	123	117	120
ACSMXP_01295.t01	CP195871	291743	294019	+	2277	1202	1181	1019	3668	3184	2512
ACSMXP_01300.t01	CP195871	294134	297715	-	3582	3442	4076	3301	7831	5730	5364
ACSMXP_01305.t01	CP195871	298032	298229	+	198	373	278	281	6544	5377	4775
ACSMXP_01310.t01	CP195871	298348	299445	-	1098	399	396	348	10596	9465	6603
ACSMXP_01315.t01	CP195871	299601	300095	+	495	541	680	540	961	842	706
ACSMXP_01320.t01	CP195871	300219	300866	-	648	7491	15966	10545	3598	2958	2566
ACSMXP_01325.t01	CP195871	301157	301762	-	606	988	1091	843	1078	1022	799
ACSMXP_01330.t01	CP195871	301862	302683	-	822	1164	879	922	4428	4644	3161
ACSMXP_01335.t01	CP195871	302812	303900	-	1089	577	421	419	8289	9673	6218
ACSMXP_01340.t01	CP195871	303902	304450	-	549	200	163	193	814	911	691
ACSMXP_01345.t01	CP195871	304488	305294	-	807	408	563	431	2964	2347	1938
ACSMXP_01350.t01	CP195871	305302	305586	-	285	148	243	176	1452	1110	1090
ACSMXP_01355.t01	CP195871	305616	306626	-	1011	693	1182	791	6135	6205	3839
ACSMXP_01360.t01	CP195871	306815	308092	+	1278	900	953	826	1179	1142	859
ACSMXP_01365.r01	CP195871	308607	310139	+	1533	0	0	1	0	0	0
ACSMXP_01370.r01	CP195871	310204	310280	+	77	0	0	1	0	0	0
ACSMXP_01375.r01	CP195871	310317	310392	+	76	0	1	1	0	1	1
ACSMXP_01380.r01	CP195871	310690	313569	+	2880	15	28	34	3	11	7
ACSMXP_01385.r01	CP195871	313756	313869	+	114	44	60	52	74	73	47
ACSMXP_01390.t01	CP195871	314485	315719	-	1235	478	625	494	1013	950	821
ACSMXP_01395.r01	CP195871	316104	316189	+	86	858	856	771	368	258	372
ACSMXP_01400.r01	CP195871	316228	316301	+	74	0	0	0	0	2	2
ACSMXP_01405.r01	CP195871	316328	316402	+	75	181	165	142	73	65	68
ACSMXP_01410.t01	CP195871	316465	317655	+	1191	7586	10319	8035	9305	9170	6230
ACSMXP_01415.r01	CP195871	317713	317788	+	76	481	583	480	299	245	181
ACSMXP_01420.t01	CP195871	317828	318208	+	381	7155	7711	6387	5138	4837	3989
ACSMXP_01425.t01	CP195871	318210	318767	+	558	8463	8166	6859	12689	12750	8828
ACSMXP_01430.t01	CP195871	318909	319340	+	432	9254	10400	8366	14579	17936	10757
ACSMXP_01435.t01	CP195871	319341	320039	+	699	9360	11217	9134	15093	16010	9955
ACSMXP_01440.t01	CP195871	320337	320834	+	498	8877	10449	8614	15630	16648	10963
ACSMXP_01445.t01	CP195871	320889	321263	+	375	7382	10598	7923	38892	45187	31436
ACSMXP_01450.t01	CP195871	321639	325748	+	4110	34307	33393	30353	26911	26834	18890
ACSMXP_01455.t01	CP195871	325770	330032	+	4263	44007	45113	39084	37021	31716	25909
ACSMXP_01460.t01	CP195871	330152	331108	-	957	956	1001	869	1236	1202	818
